Year,Orange_D,Purple_D,Red_D,Orange_E,Purple_E,Red_E,Orange_F,Purple_F,Red_F
1990,0.21,0.2,0.19,0.06,0.05,0.04,0.055,0.056,0.054
1991,0.214,0.20400000000000001,0.194,0.06166666666666667,0.051250000000000004,0.0375,0.0565,0.057,0.05475
1992,0.218,0.20800000000000002,0.198,0.06333333333333334,0.052500000000000005,0.035,0.058,0.057999999999999996,0.0555
1993,0.222,0.212,0.20199999999999999,0.065,0.05375,0.0325,0.058666666666666666,0.059,0.05625
1994,0.226,0.216,0.206,0.06542857142857143,0.055,0.03,0.059333333333333335,0.0598,0.057
1995,0.23,0.22,0.21,0.06585714285714286,0.0555,0.030454545454545453,0.06,0.0606,0.058333333333333334
1996,0.233,0.224,0.213,0.0662857142857143,0.056,0.03090909090909091,0.06142857142857143,0.061399999999999996,0.059666666666666666
1997,0.23600000000000002,0.228,0.216,0.06671428571428571,0.0565,0.031363636363636364,0.06285714285714286,0.0622,0.061
1998,0.239,0.23199999999999998,0.219,0.06714285714285714,0.057,0.03181818181818182,0.0642857142857143,0.063,0.06233333333333334
1999,0.242,0.236,0.222,0.06757142857142857,0.0575,0.03227272727272727,0.06571428571428571,0.06442857142857143,0.06366666666666666
2000,0.245,0.24,0.225,0.068,0.058,0.03272727272727273,0.06714285714285714,0.06585714285714285,0.065
2001,0.246,0.24259999999999998,0.227,0.06820000000000001,0.0592,0.03318181818181818,0.06857142857142857,0.06728571428571428,0.0665
2002,0.247,0.2452,0.229,0.0684,0.0604,0.03363636363636364,0.07,0.06871428571428571,0.068
2003,0.248,0.2478,0.23099999999999998,0.06860000000000001,0.0616,0.034090909090909095,0.07062500000000001,0.07014285714285715,0.0695
2004,0.249,0.2504,0.23299999999999998,0.0688,0.06280000000000001,0.034545454545454546,0.07125000000000001,0.07157142857142856,0.07100000000000001
2005,0.25,0.253,0.235,0.069,0.064,0.035,0.07187500000000001,0.073,0.0725
2006,0.251,0.25366666666666665,0.23559999999999998,0.06920000000000001,0.06520000000000001,0.0345,0.07250000000000001,0.07385714285714286,0.074
2007,0.252,0.25433333333333336,0.2362,0.0694,0.0664,0.034,0.073125,0.0747142857142857,0.0755
2008,0.253,0.255,0.23679999999999998,0.06960000000000001,0.06760000000000001,0.0335,0.07375,0.07557142857142857,0.077
2009,0.254,0.254,0.2374,0.0698,0.0688,0.033,0.074375,0.07642857142857143,0.07783333333333334
2010,0.255,0.253,0.238,0.07,0.07,0.035444444444444445,0.075,0.07728571428571429,0.07866666666666666
2011,0.25625,0.252,0.23825,0.07083333333333333,0.07062500000000001,0.03788888888888889,0.07625,0.07814285714285714,0.0795
2012,0.2575,0.251,0.2385,0.07166666666666667,0.07125000000000001,0.04033333333333333,0.0775,0.079,0.08033333333333334
2013,0.25875000000000004,0.25,0.23875,0.07250000000000001,0.07187500000000001,0.042777777777777776,0.07875,0.0805,0.08116666666666666
2014,0.26,0.249,0.239,0.07333333333333333,0.07250000000000001,0.04522222222222222,0.08,0.082,0.082
2015,0.25875000000000004,0.2505,0.23925,0.07416666666666666,0.073125,0.04766666666666667,0.08125,0.08349999999999999,0.08325
2016,0.2575,0.252,0.2395,0.075,0.07375,0.05011111111111111,0.0825,0.08499999999999999,0.08449999999999999
2017,0.25625,0.2535,0.23975,0.075,0.074375,0.05255555555555556,0.08375,0.0865,0.08574999999999999
2018,0.255,0.255,0.24,0.075,0.075,0.055,0.085,0.088,0.087
